idfield;cropseason;village;soil;area;tillagesystem;CAyear;sowdate;x24d;glypho;manure;urea;npk;nitrogen;rainsow;rainflow;raincycle;rainyear;yield
F2006070122;Y06_07;Ambohimiarina;lowland;13.5;till;Y0;2006-12-12;Y;Y;2083.3;74.1;111.1;46.307;13.2;132.4;1132.7;1288.7;3074.1
F2006070123;Y06_07;Ambohimiarina;lowland;6.6;till;Y0;2006-12-15;N;N;3500.0;30.3;0.0;13.938;13.2;122.0;1132.3;1288.7;1166.7
F2006070124;Y06_07;Ambohimiarina;lowland;3.5;till;Y0;2006-12-09;Y;N;0.0;120.0;200.0;77.2;28.4;148.2;1137.1;1288.7;3942.9
F2006070125;Y06_07;Ambohimiarina;lowland;6.4;till;Y0;2006-12-11;Y;N;0.0;62.5;78.1;37.341;13.2;135.2;1132.5;1288.7;2718.8
F2006070126;Y06_07;Ambohimiarina;lowland;6.3;till;Y0;2006-12-22;Y;N;3333.3;121.4;200.0;77.844;43.8;43.5;1132.1;1288.7;3111.1
F2006070127;Y06_07;Ambohimiarina;lowland;8.5;till;Y0;2006-11-24;Y;N;3000.0;47.1;0.0;21.666;117.0;234.0;1171.3;1288.7;1611.8
F2006070128;Y06_07;Ambohimiarina;lowland;8.5;till;Y0;2006-11-28;Y;N;4166.7;58.8;0.0;27.048;124.4;189.0;1106.9;1288.7;2752.9
F2006070129;Y06_07;Ambohimiarina;lowland;1.1;till;Y0;2006-11-23;N;N;4166.7;47.6;0.0;21.896;117.0;267.6;1173.3;1288.7;2414.3
F2006070130;Y06_07;Ambohimiarina;lowland;1.5;ca;Y1;2006-11-29;N;N;4166.7;33.3;0.0;15.318;99.0;190.2;1105.7;1288.7;1946.7
F2006070131;Y06_07;Ambohimiarina;lowland;6.7;till;Y0;2006-12-12;Y;N;1666.7;59.7;89.6;37.318;13.2;132.4;1132.7;1288.7;2164.2
F2006070132;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-23;Y;N;0.0;30.0;60.0;20.4;45.4;31.9;1132.1;1288.7;3870.0
F2006070133;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-11-29;Y;N;4166.7;40.0;0.0;18.4;99.0;190.2;1105.7;1288.7;2560.0
F2006070134;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-11-24;Y;N;4166.7;30.0;0.0;13.8;117.0;234.0;1171.3;1288.7;2680.0
F2006070135;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-17;Y;N;2083.3;50.0;0.0;23.0;6.2;140.0;1132.1;1288.7;1450.0
F2006070136;Y06_07;Ambohimiarina;lowland;5.0;till;Y0;2006-12-08;Y;N;2500.0;80.0;275.0;67.05;28.4;146.4;1144.9;1288.7;3720.0
F2006070137;Y06_07;Ambohimiarina;lowland;8.4;till;Y0;2006-12-09;Y;N;4166.7;59.5;119.0;40.46;28.4;148.2;1137.1;1288.7;3666.7
F2006070138;Y06_07;Ambohimiarina;lowland;4.5;till;Y0;2006-12-27;N;N;2750.0;44.4;0.0;20.424;62.8;214.7;1089.3;1288.7;3466.7
F2006070139;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-06;Y;N;2083.3;45.0;100.0;31.7;28.2;210.0;1144.3;1288.7;3880.0
F2006070140;Y06_07;Ambohimiarina;lowland;20.0;till;Y0;2006-12-02;Y;N;3000.0;50.0;100.0;34.0;66.6;173.4;1106.3;1288.7;1950.0
F2006070141;Y06_07;Ambohimiarina;lowland;20.0;till;Y0;2006-12-08;Y;N;3928.6;50.0;75.0;31.25;28.4;146.4;1144.9;1288.7;3925.0
F2006070142;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-01;Y;N;4166.7;50.0;0.0;23.0;89.4;180.0;1106.1;1288.7;2370.0
F2006070143;Y06_07;Ambohimiarina;lowland;20.0;till;Y0;2006-12-27;Y;N;3000.0;40.0;0.0;18.4;62.8;214.7;1089.3;1288.7;1050.0
F2006070144;Y06_07;Ambohimiarina;lowland;20.0;till;Y0;2006-12-08;Y;N;1666.7;30.0;0.0;13.8;28.4;146.4;1144.9;1288.7;1960.0
F2006070145;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-30;Y;N;1666.7;50.0;0.0;23.0;163.2;261.5;1089.3;1288.7;2260.0
F2006070146;Y06_07;Ambohimiarina;lowland;20.0;till;Y0;2006-12-27;Y;N;2500.0;50.0;0.0;23.0;62.8;214.7;1089.3;1288.7;2225.0
F2006070147;Y06_07;Ambohimiarina;lowland;6.0;till;Y0;2006-12-15;Y;N;2750.0;66.7;0.0;30.682;13.2;122.0;1132.3;1288.7;2633.3
F2006070148;Y06_07;Ambohimiarina;lowland;4.2;till;Y0;2006-11-19;N;N;1666.7;35.7;47.6;21.658;123.2;199.8;1222.1;1288.7;4000.0
F2006070149;Y06_07;Ambohimiarina;lowland;4.4;till;Y0;2006-11-19;N;N;4166.7;34.1;45.5;20.691;123.2;199.8;1222.1;1288.7;4022.7
F2006070150;Y06_07;Ambohimiarina;hillside;3.0;till;Y0;2006-12-29;N;N;3000.0;33.3;33.3;18.981;100.6;261.5;1089.5;1288.7;2900.0
F2006070151;Y06_07;Ambohimiarina;lowland;13.0;till;Y0;2006-12-02;Y;N;3000.0;38.5;61.5;24.475;66.6;173.4;1106.3;1288.7;2615.4
F2006070152;Y06_07;Ambohimiarina;lowland;2.1;till;Y0;2006-12-06;N;N;0.0;47.6;0.0;21.896;28.2;210.0;1144.3;1288.7;2476.2
F2006070153;Y06_07;Ambohimiarina;lowland;4.5;till;Y0;2006-12-29;N;N;0.0;44.4;0.0;20.424;100.6;261.5;1089.5;1288.7;2111.1
F2006070154;Y06_07;Ambohimiarina;lowland;8.0;till;Y0;2006-12-13;Y;N;4166.7;37.5;50.0;22.75;13.2;123.0;1132.3;1288.7;3687.5
F2006070155;Y06_07;Ambohimiarina;lowland;7.5;till;Y0;2006-12-29;Y;N;1666.7;66.7;40.0;35.082;100.6;261.5;1089.5;1288.7;1760.0
F2006070156;Y06_07;Ambohimiarina;lowland;12.0;till;Y0;2006-12-16;Y;N;4166.7;41.7;41.7;23.769;6.2;142.0;1132.1;1288.7;1733.3
F2006070157;Y06_07;Ambohimiarina;lowland;15.0;till;Y0;2006-12-27;Y;N;0.0;66.7;53.3;36.545;62.8;214.7;1089.3;1288.7;2733.3
F2006070158;Y06_07;Ambohimiarina;lowland;2.7;till;Y0;2006-12-18;N;N;2500.0;120.0;200.0;77.2;43.4;119.0;1132.1;1288.7;2777.8
F2006070159;Y06_07;Ambohimiarina;lowland;6.0;till;Y0;2006-12-09;N;N;5333.3;41.7;0.0;19.182;28.4;148.2;1137.1;1288.7;1950.0
F2006070160;Y06_07;Ambohimiarina;lowland;22.5;till;Y0;2006-12-28;Y;N;4166.7;44.4;17.8;22.382;69.4;261.7;1088.9;1288.7;2773.3
F2006070161;Y06_07;Ambohimiarina;lowland;20.0;till;Y0;2006-12-27;Y;N;4166.7;50.0;0.0;23.0;62.8;214.7;1089.3;1288.7;4025.0
F2006070162;Y06_07;Ambohimiarina;lowland;5.0;till;Y0;2006-12-11;Y;N;4000.0;60.0;100.0;38.6;13.2;135.2;1132.5;1288.7;2840.0
F2006070163;Y06_07;Ambohimiarina;lowland;5.6;till;Y0;2006-12-19;Y;N;3333.3;62.5;0.0;28.75;43.4;118.6;1132.1;1288.7;2196.4
F2006070164;Y06_07;Ambohimiarina;lowland;16.5;ca;Y1;2006-12-15;Y;N;3125.0;30.3;0.0;13.938;13.2;122.0;1132.3;1288.7;2333.3
